run,strategy,stitch_id,met_slo,utility,latency_ms,payload_mb,link_mb,hop_count,acc,profile
377,SLO-first,4,False,-94.25776346096065,6799.740247211474,1.05419921875,13.4892578125,76,93.86,fast
377,Best-Acc,1,False,,9958.48346628739,1.58056640625,23.7802734375,116,95.16,fast
377,Lowest-Latency,7,False,,7735.733362597196,1.24560546875,14.9560546875,92,94.56,fast
377,Random,2,False,,13232.16193043716,1.77197265625,31.841796875,141,94.99,fast
377,Round-Robin,7,False,,10417.875908268406,1.24560546875,22.27734375,105,94.56,fast
378,SLO-first,4,False,-100.44986381129523,7242.033129378231,1.05419921875,15.07861328125,84,93.86,fast
378,Best-Acc,1,False,,8980.417740366905,1.58056640625,17.82421875,97,95.16,fast
378,Lowest-Latency,5,False,,6827.177308385498,1.38916015625,13.345703125,78,93.38,fast
378,Random,4,False,,7262.816135120386,1.05419921875,12.8056640625,81,93.86,fast
378,Round-Robin,1,False,,8815.18241859332,1.58056640625,17.53857421875,85,95.16,fast
379,SLO-first,6,False,-118.11798469599624,8504.56319257116,1.24560546875,22.91162109375,127,94.59,fast
379,Best-Acc,1,False,,8993.200443500296,1.58056640625,25.857421875,125,95.16,fast
379,Lowest-Latency,4,False,,7605.621389916336,1.05419921875,14.62109375,99,93.86,fast
379,Random,2,False,,12324.194526254198,1.77197265625,26.09814453125,143,94.99,fast
379,Round-Robin,2,False,,12801.265671749317,1.77197265625,25.61669921875,147,94.99,fast
380,SLO-first,6,False,-100.97264174789939,7279.895839135671,1.24560546875,12.53076171875,77,94.59,fast
380,Best-Acc,1,False,,10733.986912783892,1.58056640625,19.40625,109,95.16,fast
380,Lowest-Latency,6,False,,6311.6569618766025,1.24560546875,13.02880859375,68,94.59,fast
380,Random,3,False,,9791.99022110134,1.19775390625,18.53759765625,107,94.11,fast
380,Round-Robin,3,False,,7225.742946658786,1.19775390625,11.86376953125,79,94.11,fast
381,SLO-first,6,False,-83.71885301984729,6047.48235856052,1.24560546875,11.3271484375,64,94.59,fast
381,Best-Acc,1,False,,11817.594676886374,1.58056640625,22.27880859375,122,95.16,fast
381,Lowest-Latency,4,False,,6805.716992741604,1.05419921875,12.166015625,72,93.86,fast
381,Random,2,False,,10710.020606831784,1.77197265625,20.59375,109,94.99,fast
381,Round-Robin,4,False,,8503.613242196576,1.05419921875,15.1728515625,89,93.86,fast
382,SLO-first,4,False,-87.68528156835745,6330.277254882675,1.05419921875,11.64404296875,68,93.86,fast
382,Best-Acc,1,False,,9984.812146434733,1.58056640625,20.548828125,99,95.16,fast
382,Lowest-Latency,6,False,,7167.6135383888695,1.24560546875,14.5361328125,71,94.59,fast
382,Random,1,False,,10095.816437809903,1.58056640625,17.6748046875,105,95.16,fast
382,Round-Robin,5,False,,9723.511782639065,1.38916015625,16.65478515625,115,93.38,fast
383,SLO-first,4,False,-96.88636981448049,6987.497843891463,1.05419921875,12.62060546875,75,93.86,fast
383,Best-Acc,1,False,,10877.312293841083,1.58056640625,25.15283203125,135,95.16,fast
383,Lowest-Latency,4,False,,7549.780264703721,1.05419921875,12.541015625,82,93.86,fast
383,Random,5,False,,11160.374032964346,1.38916015625,24.25439453125,130,93.38,fast
383,Round-Robin,6,False,,9281.847038494267,1.24560546875,15.48388671875,102,94.59,fast
384,SLO-first,4,False,-86.72523168419845,6261.702263157032,1.05419921875,16.14794921875,80,93.86,fast
384,Best-Acc,1,False,,9540.866202299761,1.58056640625,24.91845703125,114,95.16,fast
384,Lowest-Latency,4,False,,6101.497315912622,1.05419921875,15.208984375,75,93.86,fast
384,Random,3,False,,8005.890974743206,1.19775390625,17.4072265625,83,94.11,fast
384,Round-Robin,7,False,,8958.204865306392,1.24560546875,20.06591796875,98,94.56,fast
385,SLO-first,4,False,-90.3583194669206,6521.2085333514715,1.05419921875,12.85693359375,67,93.86,fast
385,Best-Acc,1,False,,7836.783991532596,1.58056640625,14.31005859375,80,95.16,fast
385,Lowest-Latency,4,False,,6328.622470704149,1.05419921875,11.38525390625,66,93.86,fast
385,Random,1,False,,8606.136059760105,1.58056640625,17.0361328125,95,95.16,fast
385,Round-Robin,1,False,,9900.285535008688,1.58056640625,17.4609375,106,95.16,fast
386,SLO-first,4,False,-80.6647247649484,5828.808911782029,1.05419921875,9.11083984375,70,93.86,fast
386,Best-Acc,1,False,,8810.53661103491,1.58056640625,17.25,91,95.16,fast
386,Lowest-Latency,4,False,,5907.695107358264,1.05419921875,11.7353515625,64,93.86,fast
386,Random,1,False,,8826.700049356734,1.58056640625,19.107421875,95,95.16,fast
386,Round-Robin,2,False,,10647.66198377074,1.77197265625,21.54638671875,107,94.99,fast
387,SLO-first,4,False,-81.48199713041957,5887.185509315684,1.05419921875,10.66455078125,66,93.86,fast
387,Best-Acc,1,False,,10469.859286566707,1.58056640625,21.3369140625,101,95.16,fast
387,Lowest-Latency,5,False,,6724.11822633147,1.38916015625,12.3125,71,93.38,fast
387,Random,4,False,,6765.356926116213,1.05419921875,13.0302734375,71,93.86,fast
387,Round-Robin,3,False,,9293.666031842939,1.19775390625,19.32421875,96,94.11,fast
388,SLO-first,7,False,-104.35457242668056,7521.440887620041,1.24560546875,14.56591796875,81,94.56,fast
388,Best-Acc,1,False,,10086.794845015585,1.58056640625,19.26416015625,103,95.16,fast
388,Lowest-Latency,3,False,,6554.867386338347,1.19775390625,11.9775390625,71,94.11,fast
388,Random,3,False,,9530.160874347068,1.19775390625,17.5341796875,101,94.11,fast
388,Round-Robin,4,False,,6066.483797396187,1.05419921875,10.19189453125,63,93.86,fast
389,SLO-first,4,False,-100.64881405521304,7256.243861086645,1.05419921875,13.60595703125,78,93.86,fast
