run,strategy,latency_ms,acc,payload_mb,link_mb,hop_count,met_slo,stages_met,met_task_slo_all,stages_met_task_slo,stages,profiles
14,Lowest-Latency,19602.211676309864,93.86,3.16259765625,38.27587890625,198,False,0,False,0,3,fast|default|heavy
14,Random,25653.8885612514,93.38,3.83251953125,48.783203125,294,False,0,False,0,3,fast|default|heavy
14,Round-Robin,28700.98081861532,94.11,4.55029296875,61.34912109375,314,False,0,False,0,3,fast|default|heavy
15,SLO-first,18738.80557450586,93.86,3.35400390625,38.32080078125,212,False,0,False,0,3,fast|default|heavy
15,Best-Acc,27086.242548420225,95.16,4.74169921875,52.51318359375,280,False,0,False,0,3,fast|default|heavy
15,Lowest-Latency,21511.269744842364,93.86,3.16259765625,58.4521484375,287,False,0,False,0,3,fast|default|heavy
15,Random,22164.240949384974,93.86,3.88037109375,42.2666015625,234,False,0,False,0,3,fast|default|heavy
15,Round-Robin,28199.48916501527,93.86,4.02392578125,64.8408203125,314,False,0,False,0,3,fast|default|heavy
16,SLO-first,20375.084133782453,93.86,3.35400390625,36.02294921875,230,False,0,False,0,3,fast|default|heavy
16,Best-Acc,30058.630313796548,95.16,4.74169921875,60.4921875,298,False,0,False,0,3,fast|default|heavy
16,Lowest-Latency,19875.72770521156,93.86,3.64111328125,38.23974609375,237,False,0,False,0,3,fast|default|heavy
16,Random,25144.82289518868,94.99,4.21533203125,55.2421875,299,False,0,False,0,3,fast|default|heavy
16,Round-Robin,25471.584576319394,93.38,3.64111328125,66.162109375,360,False,0,False,0,3,fast|default|heavy
17,SLO-first,18446.229996747865,93.86,3.16259765625,36.0390625,183,False,0,False,0,3,fast|default|heavy
17,Best-Acc,32077.730108030464,95.16,4.74169921875,72.29296875,368,False,0,False,0,3,fast|default|heavy
17,Lowest-Latency,20000.514059054094,93.86,3.35400390625,42.603515625,239,False,0,False,0,3,fast|default|heavy
17,Random,32530.29584062025,94.99,5.12451171875,74.93994140625,408,False,0,False,0,3,fast|default|heavy
17,Round-Robin,23731.516870935367,94.59,3.68896484375,43.0908203125,249,False,0,False,0,3,fast|default|heavy
18,SLO-first,21176.353330972182,93.86,3.49755859375,47.91455078125,264,False,0,False,0,3,fast|default|heavy
18,Best-Acc,30066.469131387134,95.16,4.74169921875,62.4228515625,326,False,0,False,0,3,fast|default|heavy
18,Lowest-Latency,22347.869731744635,94.59,3.35400390625,50.6455078125,301,False,0,False,0,3,fast|default|heavy
18,Random,26953.01882470491,94.59,4.26318359375,57.27294921875,293,False,0,False,0,3,fast|default|heavy
18,Round-Robin,26334.526623467682,94.56,3.88037109375,59.03564453125,305,False,0,False,0,3,fast|default|heavy
19,SLO-first,18887.817345379037,93.86,3.16259765625,34.60009765625,207,False,0,False,0,3,fast|default|heavy
19,Best-Acc,30433.29683456508,95.16,4.74169921875,63.2080078125,322,False,0,False,0,3,fast|default|heavy
19,Lowest-Latency,19788.127384192572,93.86,3.35400390625,43.7666015625,242,False,0,False,0,3,fast|default|heavy
19,Random,27190.085140953444,94.99,4.21533203125,61.0322265625,318,False,0,False,0,3,fast|default|heavy
19,Round-Robin,25731.569395757237,95.16,4.07177734375,47.189453125,266,False,0,False,0,3,fast|default|heavy
20,SLO-first,21541.323386503005,94.56,3.54541015625,44.8623046875,266,False,0,False,0,3,fast|default|heavy
20,Best-Acc,28752.52089336264,95.16,4.74169921875,63.14501953125,325,False,0,False,0,3,fast|default|heavy
20,Lowest-Latency,20357.8756673137,93.86,3.16259765625,37.3544921875,210,False,0,False,0,3,fast|default|heavy
20,Random,25898.75088555938,94.11,4.02392578125,52.146484375,324,False,0,False,0,3,fast|default|heavy
20,Round-Robin,28410.989502572964,94.99,4.59814453125,63.51708984375,346,False,0,False,0,3,fast|default|heavy
21,SLO-first,17629.49175725499,93.86,3.30615234375,45.3984375,220,False,0,False,0,3,fast|default|heavy
21,Best-Acc,28615.526161293557,95.16,4.74169921875,62.5634765625,330,False,0,False,0,3,fast|default|heavy
21,Lowest-Latency,22712.275985589593,94.56,3.88037109375,48.7939453125,289,False,0,False,0,3,fast|default|heavy
21,Random,24874.124448633647,95.16,4.07177734375,61.173828125,308,False,0,False,0,3,fast|default|heavy
21,Round-Robin,31948.855115285827,94.11,4.55029296875,78.9794921875,391,False,0,False,0,3,fast|default|heavy
22,SLO-first,18168.610368423357,93.86,3.30615234375,31.70068359375,197,False,0,False,0,3,fast|default|heavy
22,Best-Acc,28967.721687940248,95.16,4.74169921875,56.7509765625,291,False,0,False,0,3,fast|default|heavy
22,Lowest-Latency,19261.615095404435,94.11,3.49755859375,35.90283203125,207,False,0,False,0,3,fast|default|heavy
22,Random,25753.614507262242,93.86,3.68896484375,56.5634765625,291,False,0,False,0,3,fast|default|heavy
22,Round-Robin,23880.069891142717,93.86,4.02392578125,44.26220703125,295,False,0,False,0,3,fast|default|heavy
23,SLO-first,18072.51632648407,94.11,3.30615234375,38.55712890625,226,False,0,False,0,3,fast|default|heavy
23,Best-Acc,29823.213581655273,95.16,4.74169921875,65.36572265625,317,False,0,False,0,3,fast|default|heavy
23,Lowest-Latency,20088.315820104734,94.59,3.35400390625,46.93994140625,264,False,0,False,0,3,fast|default|heavy
23,Random,26374.13759643479,94.56,3.68896484375,53.98095703125,341,False,0,False,0,3,fast|default|heavy
23,Round-Robin,26328.420067006205,93.38,3.64111328125,62.18603515625,342,False,0,False,0,3,fast|default|heavy
24,SLO-first,20803.92380529885,94.59,3.49755859375,39.10791015625,235,False,0,False,0,3,fast|default|heavy
24,Best-Acc,26271.39231443332,95.16,4.74169921875,61.9921875,298,False,0,False,0,3,fast|default|heavy
24,Lowest-Latency,20805.32986499798,94.59,3.54541015625,38.84228515625,225,False,0,False,0,3,fast|default|heavy
24,Random,25692.61920679438,93.86,3.44970703125,51.451171875,307,False,0,False,0,3,fast|default|heavy
24,Round-Robin,23288.593385616583,94.59,3.68896484375,46.787109375,260,False,0,False,0,3,fast|default|heavy
25,SLO-first,19956.992302073468,94.56,3.35400390625,43.04248046875,256,False,0,False,0,3,fast|default|heavy
25,Best-Acc,25662.2436428434,95.16,4.74169921875,50.625,319,False,0,False,0,3,fast|default|heavy
25,Lowest-Latency,20355.181513926538,94.11,3.44970703125,52.439453125,268,False,0,False,0,3,fast|default|heavy
25,Random,23714.283176654277,95.16,4.02392578125,41.6298828125,246,False,0,False,0,3,fast|default|heavy
25,Round-Robin,26778.26954195256,94.56,3.88037109375,47.9697265625,281,False,0,False,0,3,fast|default|heavy
26,SLO-first,21447.761667453502,93.86,3.54541015625,37.29541015625,248,False,0,False,0,3,fast|default|heavy
26,Best-Acc,31971.91089040938,95.16,4.74169921875,72.43798828125,373,False,0,False,0,3,fast|default|heavy
26,Lowest-Latency,18262.119303151732,93.38,3.49755859375,32.20751953125,222,False,0,False,0,3,fast|default|heavy
26,Random,25178.495956701983,93.86,3.68896484375,47.6767578125,279,False,0,False,0,3,fast|default|heavy
26,Round-Robin,26938.64119968991,95.16,4.07177734375,54.5693359375,271,False,0,False,0,3,fast|default|heavy
27,SLO-first,22283.460364949708,94.59,3.49755859375,52.49951171875,287,False,0,False,0,3,fast|default|heavy
27,Best-Acc,29668.05523581637,95.16,4.74169921875,66.7998046875,323,False,0,False,0,3,fast|default|heavy
27,Lowest-Latency,20687.031848605075,94.56,3.35400390625,40.6337890625,249,False,0,False,0,3,fast|default|heavy
27,Random,26343.708457217144,94.56,4.02392578125,50.62890625,284,False,0,False,0,3,fast|default|heavy
27,Round-Robin,27897.76931374883,94.99,4.59814453125,50.03271484375,318,False,0,False,0,3,fast|default|heavy
28,SLO-first,19165.70319169062,93.86,3.30615234375,34.84521484375,209,False,0,False,0,3,fast|default|heavy
28,Best-Acc,26704.48894245091,95.16,4.74169921875,61.43115234375,298,False,0,False,0,3,fast|default|heavy
28,Lowest-Latency,20785.11077441983,93.86,3.30615234375,41.19873046875,269,False,0,False,0,3,fast|default|heavy
28,Random,26245.937525433837,94.99,4.07177734375,65.0859375,311,False,0,False,0,3,fast|default|heavy
28,Round-Robin,26635.823406246345,94.11,4.55029296875,61.0888671875,351,False,0,False,0,3,fast|default|heavy
29,SLO-first,19936.66317821903,94.56,3.49755859375,39.5615234375,225,False,0,False,0,3,fast|default|heavy
29,Best-Acc,27848.80784872474,95.16,4.74169921875,56.8271484375,285,False,0,False,0,3,fast|default|heavy
29,Lowest-Latency,19932.726819818505,93.86,3.16259765625,42.2294921875,220,False,0,False,0,3,fast|default|heavy
29,Random,27154.53059950297,95.16,4.02392578125,54.97412109375,320,False,0,False,0,3,fast|default|heavy
29,Round-Robin,25533.723319859462,93.86,4.02392578125,60.748046875,303,False,0,False,0,3,fast|default|heavy
30,SLO-first,21013.409246842406,94.56,3.54541015625,46.24462890625,264,False,0,False,0,3,fast|default|heavy
30,Best-Acc,29152.116555517714,95.16,4.74169921875,77.35693359375,367,False,0,False,0,3,fast|default|heavy
30,Lowest-Latency,19510.64553441963,93.86,3.68896484375,43.7236328125,215,False,0,False,0,3,fast|default|heavy
30,Random,25318.618927258387,94.99,4.16748046875,51.10986328125,303,False,0,False,0,3,fast|default|heavy
30,Round-Robin,23299.262090074975,93.38,3.64111328125,45.21875,262,False,0,False,0,3,fast|default|heavy
31,SLO-first,20182.855031120966,94.59,3.49755859375,40.28564453125,242,False,0,False,0,3,fast|default|heavy
31,Best-Acc,29196.723137669815,95.16,4.74169921875,62.05810546875,313,False,0,False,0,3,fast|default|heavy
31,Lowest-Latency,20340.022552345756,94.11,3.44970703125,41.15869140625,252,False,0,False,0,3,fast|default|heavy
31,Random,22885.59023938817,93.86,3.35400390625,47.78173828125,255,False,0,False,0,3,fast|default|heavy
31,Round-Robin,28441.643964601673,94.59,3.68896484375,56.04296875,322,False,0,False,0,3,fast|default|heavy
32,SLO-first,19678.847424741423,94.11,3.44970703125,45.76611328125,230,False,0,False,0,3,fast|default|heavy
32,Best-Acc,28335.093605241764,95.16,4.74169921875,64.8134765625,312,False,0,False,0,3,fast|default|heavy
32,Lowest-Latency,20862.426171951247,93.86,3.49755859375,51.10888671875,263,False,0,False,0,3,fast|default|heavy
32,Random,30170.080289988568,95.16,4.93310546875,73.86328125,343,False,0,False,0,3,fast|default|heavy
32,Round-Robin,24215.994388157284,94.56,3.88037109375,44.85986328125,267,False,0,False,0,3,fast|default|heavy
33,SLO-first,22072.629867739008,93.86,3.35400390625,47.69189453125,282,False,0,False,0,3,fast|default|heavy
33,Best-Acc,31690.24120517231,95.16,4.74169921875,72.57275390625,369,False,0,False,0,3,fast|default|heavy
33,Lowest-Latency,24245.108319917807,94.59,3.54541015625,55.14208984375,303,False,0,False,0,3,fast|default|heavy
33,Random,27639.16414030276,94.99,4.40673828125,60.3515625,323,False,0,False,0,3,fast|default|heavy
33,Round-Robin,25201.893925913075,95.16,4.07177734375,48.84326171875,263,False,0,False,0,3,fast|default|heavy
34,SLO-first,20291.26352157025,93.86,3.35400390625,37.84521484375,213,False,0,False,0,3,fast|default|heavy
34,Best-Acc,27593.264002493866,95.16,4.74169921875,60.1494140625,323,False,0,False,0,3,fast|default|heavy
34,Lowest-Latency,19564.970531436345,93.86,3.16259765625,37.7177734375,218,False,0,False,0,3,fast|default|heavy
34,Random,25326.716603895973,93.86,4.07177734375,48.619140625,261,False,0,False,0,3,fast|default|heavy
34,Round-Robin,26351.841816214524,94.99,4.59814453125,52.80908203125,292,False,0,False,0,3,fast|default|heavy
35,SLO-first,19131.511841288215,93.86,3.35400390625,36.2392578125,218,False,0,False,0,3,fast|default|heavy
35,Best-Acc,28617.43409361252,95.16,4.74169921875,55.7666015625,300,False,0,False,0,3,fast|default|heavy
35,Lowest-Latency,20289.178599077706,93.86,3.30615234375,39.37890625,244,False,0,False,0,3,fast|default|heavy
35,Random,25885.075167329825,94.59,3.88037109375,55.94482421875,303,False,0,False,0,3,fast|default|heavy
35,Round-Robin,29286.870249516112,94.11,4.55029296875,74.50244140625,342,False,0,False,0,3,fast|default|heavy
36,SLO-first,20716.048070873956,94.11,3.30615234375,38.486328125,219,False,0,False,0,3,fast|default|heavy
36,Best-Acc,27216.451913998288,95.16,4.74169921875,56.18701171875,268,False,0,False,0,3,fast|default|heavy
36,Lowest-Latency,19883.155321195212,93.86,3.16259765625,39.4638671875,229,False,0,False,0,3,fast|default|heavy
36,Random,26965.74417585777,94.99,4.40673828125,65.86083984375,367,False,0,False,0,3,fast|default|heavy
36,Round-Robin,24975.147035144735,93.86,4.02392578125,52.509765625,319,False,0,False,0,3,fast|default|heavy
37,SLO-first,21308.477089838838,94.11,3.64111328125,38.958984375,243,False,0,False,0,3,fast|default|heavy
37,Best-Acc,26952.19598918264,95.16,4.74169921875,77.84619140625,329,False,0,False,0,3,fast|default|heavy
37,Lowest-Latency,21225.757545088687,93.86,3.30615234375,45.66845703125,280,False,0,False,0,3,fast|default|heavy
37,Random,24034.312630480446,94.56,3.88037109375,44.48876953125,257,False,0,False,0,3,fast|default|heavy
37,Round-Robin,23381.44325651103,93.38,3.64111328125,54.029296875,267,False,0,False,0,3,fast|default|heavy
38,SLO-first,21108.72615788369,94.59,3.35400390625,49.8466796875,287,False,0,False,0,3,fast|default|heavy
38,Best-Acc,28819.015416338865,95.16,4.74169921875,56.8330078125,308,False,0,False,0,3,fast|default|heavy
38,Lowest-Latency,19109.098164735544,93.86,3.35400390625,40.69189453125,246,False,0,False,0,3,fast|default|heavy
38,Random,28375.072046359302,94.56,4.21533203125,55.71728515625,321,False,0,False,0,3,fast|default|heavy
38,Round-Robin,23025.970606116352,94.59,3.68896484375,42.986328125,262,False,0,False,0,3,fast|default|heavy
39,SLO-first,21292.366635231403,94.11,3.30615234375,40.12158203125,284,False,0,False,0,3,fast|default|heavy
39,Best-Acc,28814.67921254656,95.16,4.74169921875,68.8798828125,317,False,0,False,0,3,fast|default|heavy
39,Lowest-Latency,21166.058843524494,93.86,3.49755859375,44.50537109375,258,False,0,False,0,3,fast|default|heavy
39,Random,26820.861254181036,94.99,4.35888671875,52.095703125,298,False,0,False,0,3,fast|default|heavy
39,Round-Robin,25310.2197999071,94.56,3.88037109375,48.693359375,307,False,0,False,0,3,fast|default|heavy
40,SLO-first,22336.740303202358,93.86,3.44970703125,57.736328125,297,False,0,False,0,3,fast|default|heavy
40,Best-Acc,28574.331731502618,95.16,4.74169921875,63.56689453125,366,False,0,False,0,3,fast|default|heavy
40,Lowest-Latency,20608.675596774632,93.86,3.35400390625,40.986328125,246,False,0,False,0,3,fast|default|heavy
40,Random,27572.942888159785,94.99,4.26318359375,62.04296875,304,False,0,False,0,3,fast|default|heavy
40,Round-Robin,24607.44455393229,95.16,4.07177734375,67.85107421875,328,False,0,False,0,3,fast|default|heavy
41,SLO-first,21164.376812528426,94.56,3.49755859375,46.92041015625,234,False,0,False,0,3,fast|default|heavy
41,Best-Acc,30863.76915702582,95.16,4.74169921875,84.17138671875,379,False,0,False,0,3,fast|default|heavy
41,Lowest-Latency,20573.598441091133,94.59,3.49755859375,37.2900390625,228,False,0,False,0,3,fast|default|heavy
41,Random,24317.156834162168,93.38,4.21533203125,50.8154296875,288,False,0,False,0,3,fast|default|heavy
41,Round-Robin,27524.336643686765,94.99,4.59814453125,63.80908203125,286,False,0,False,0,3,fast|default|heavy
42,SLO-first,19534.090433152185,94.11,3.49755859375,33.65478515625,215,False,0,False,0,3,fast|default|heavy
42,Best-Acc,25178.04889566518,95.16,4.74169921875,56.10791015625,283,False,0,False,0,3,fast|default|heavy
42,Lowest-Latency,19809.112947700472,94.56,3.54541015625,38.0126953125,225,False,0,False,0,3,fast|default|heavy
42,Random,26626.79826128998,93.38,3.83251953125,55.630859375,310,False,0,False,0,3,fast|default|heavy
42,Round-Robin,26917.05160962567,94.11,4.55029296875,53.0751953125,294,False,0,False,0,3,fast|default|heavy
43,SLO-first,19971.722117073954,93.86,3.49755859375,39.0859375,250,False,0,False,0,3,fast|default|heavy
43,Best-Acc,29715.63356157724,95.16,4.74169921875,68.16796875,339,False,0,False,0,3,fast|default|heavy
43,Lowest-Latency,15988.352058738532,93.86,3.16259765625,31.04541015625,193,False,0,False,0,3,fast|default|heavy
43,Random,32054.845721533762,94.99,4.78955078125,73.05126953125,401,False,0,False,0,3,fast|default|heavy
43,Round-Robin,26326.355730179774,93.86,4.02392578125,54.7421875,325,False,0,False,0,3,fast|default|heavy
44,SLO-first,19626.441848595197,93.86,3.16259765625,40.6650390625,235,False,0,False,0,3,fast|default|heavy
44,Best-Acc,28843.76285512894,95.16,4.74169921875,57.68115234375,299,False,0,False,0,3,fast|default|heavy
44,Lowest-Latency,20621.121694387577,93.38,3.83251953125,42.68115234375,237,False,0,False,0,3,fast|default|heavy
44,Random,28349.759043353493,94.99,4.93310546875,62.7080078125,348,False,0,False,0,3,fast|default|heavy
44,Round-Robin,24494.523247491357,93.38,3.64111328125,51.783203125,273,False,0,False,0,3,fast|default|heavy
45,SLO-first,19200.173273128312,93.86,3.16259765625,38.72705078125,220,False,0,False,0,3,fast|default|heavy
45,Best-Acc,31078.206661342607,95.16,4.74169921875,59.7216796875,351,False,0,False,0,3,fast|default|heavy
45,Lowest-Latency,18934.237468602474,94.11,3.59326171875,34.04248046875,197,False,0,False,0,3,fast|default|heavy
45,Random,25238.03494068879,94.11,3.64111328125,43.04541015625,281,False,0,False,0,3,fast|default|heavy
45,Round-Robin,21938.571408585238,94.59,3.68896484375,43.02734375,278,False,0,False,0,3,fast|default|heavy
46,SLO-first,20898.68490932931,93.86,3.35400390625,38.0751953125,276,False,0,False,0,3,fast|default|heavy
46,Best-Acc,27044.417383423388,95.16,4.74169921875,55.02685546875,282,False,0,False,0,3,fast|default|heavy
46,Lowest-Latency,22199.11171825443,94.11,3.30615234375,40.45556640625,270,False,0,False,0,3,fast|default|heavy
46,Random,26975.653815976533,94.99,4.21533203125,57.078125,314,False,0,False,0,3,fast|default|heavy
46,Round-Robin,25124.837224849558,94.56,3.88037109375,48.267578125,263,False,0,False,0,3,fast|default|heavy
47,SLO-first,21084.474411787414,93.86,3.16259765625,50.29541015625,267,False,0,False,0,3,fast|default|heavy
47,Best-Acc,30304.33555965672,95.16,4.74169921875,63.3779296875,329,False,0,False,0,3,fast|default|heavy
47,Lowest-Latency,19619.98906951779,93.86,3.30615234375,41.58935546875,247,False,0,False,0,3,fast|default|heavy
47,Random,25652.752890581465,94.59,4.21533203125,55.81640625,303,False,0,False,0,3,fast|default|heavy
47,Round-Robin,26514.366954352037,95.16,4.07177734375,53.78955078125,312,False,0,False,0,3,fast|default|heavy
48,SLO-first,19967.93138241207,93.86,3.35400390625,41.43701171875,232,False,0,False,0,3,fast|default|heavy
48,Best-Acc,29279.538751571417,95.16,4.74169921875,64.53076171875,299,False,0,False,0,3,fast|default|heavy
48,Lowest-Latency,21938.10195843191,93.86,3.49755859375,41.60693359375,290,False,0,False,0,3,fast|default|heavy
48,Random,27153.392039191865,94.11,4.02392578125,53.70166015625,309,False,0,False,0,3,fast|default|heavy
48,Round-Robin,32555.051647482178,94.99,4.59814453125,71.7353515625,380,False,0,False,0,3,fast|default|heavy
